--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
true,true,true,true,false,true,false,true,false,true,true,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,false,1590072,bytes,62026
true,true,true,true,false,true,true,false,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,1818040,bytes,71615
true,false,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,1751704,bytes,60712
true,false,false,false,true,true,false,true,true,false,true,false,false,false,true,false,false,true,false,true,true,true,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,false,true,true,false,false,false,true,true,true,false,true,false,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,false,false,true,1337144,bytes,44841
true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,true,false,false,1269808,bytes,45728
false,false,true,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true,false,false,false,false,850200,bytes,31323
true,true,true,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,false,false,true,false,985032,bytes,33425
true,true,true,true,true,true,false,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,true,false,true,true,false,true,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
false,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,true,3096112,bytes,106878
false,true,true,true,true,true,true,false,false,true,true,true,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,863520,bytes,33069
true,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,false,1610640,bytes,54298
false,false,false,true,false,true,false,false,false,true,true,true,false,false,true,false,false,true,true,false,false,true,true,false,false,false,false,false,true,false,false,3096112,bytes,106878
false,false,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,915168,bytes,32727
true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
true,false,true,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,3096112,bytes,106878
true,false,true,false,true,false,true,false,false,true,true,true,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
true,false,false,true,true,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,true,true,false,false,false,false,2137480,bytes,75143
false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,true,false,false,1577896,bytes,52026
false,false,true,true,false,true,true,false,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
true,false,false,true,false,false,false,true,true,true,true,true,false,false,true,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,1604040,bytes,57687
