--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
true,true,true,true,false,false,true,false,false,true,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,true,2654416,bytes,102598
true,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,true,true,false,true,true,false,false,false,true,false,false,false,false,true,false,940496,bytes,33697
true,true,true,true,true,true,false,false,true,true,true,true,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,3096112,bytes,106878
false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
false,false,false,true,true,false,true,false,false,true,true,true,false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,true,false,false,3096112,bytes,106878
true,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,true,false,false,true,false,false,false,false,3096112,bytes,106878
false,true,true,true,true,true,false,false,true,false,true,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,1869096,bytes,63718
true,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,false,false,true,false,2036720,bytes,77504
true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,false,false,false,true,2365336,bytes,85596
true,false,false,true,false,true,true,false,false,true,true,true,false,false,false,false,true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,966048,bytes,39103
false,false,false,true,true,true,false,false,false,true,true,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,false,false,1548472,bytes,58495
true,true,true,true,false,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,false,true,false,false,false,true,false,true,true,true,true,false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
false,false,true,false,true,true,true,false,false,false,true,true,false,false,true,false,false,true,true,true,true,false,false,false,true,false,true,false,false,false,false,921528,bytes,33399
false,false,true,false,true,false,true,false,false,true,true,true,false,false,false,false,false,true,true,false,false,true,false,true,false,false,true,false,false,false,false,1338912,bytes,50286
true,false,true,false,true,false,true,false,false,true,true,false,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,false,true,false,1765304,bytes,64767
true,false,false,true,true,true,true,false,false,false,true,true,false,false,false,false,true,true,true,true,true,true,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
false,false,true,false,true,true,true,false,true,false,true,false,false,false,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,false,3096112,bytes,106878
true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,true,false,false,true,false,false,false,false,1802872,bytes,59456
true,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,false,true,false,false,false,2309072,bytes,74041
false,false,true,true,true,true,true,false,true,true,true,true,false,false,true,false,false,true,true,true,false,true,true,true,false,false,false,false,true,false,false,3096112,bytes,106878
true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,1708104,bytes,58518
false,false,true,true,false,true,true,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,true,false,false,false,1654472,bytes,53762
false,false,true,true,false,false,true,false,false,true,false,true,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,true,false,false,false,2072016,bytes,76761
false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,2721112,bytes,104098
true,false,true,false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,true,true,false,false,true,false,false,false,false,3096112,bytes,106878
false,false,false,false,false,true,true,false,true,true,true,false,false,false,false,false,true,true,true,false,true,true,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,2926848,bytes,94002
true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false,false,true,false,false,false,938896,bytes,33638
true,true,true,true,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,2248720,bytes,85882
false,false,true,true,false,true,false,false,true,false,true,true,false,false,false,false,true,true,false,true,true,true,false,false,false,true,true,false,false,false,false,1552592,bytes,50012
true,false,true,false,true,false,true,false,true,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,true,false,2587432,bytes,92517
false,true,true,true,true,true,false,false,false,true,true,false,false,false,true,false,false,true,true,false,false,true,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,true,false,3096112,bytes,106878
true,true,true,true,true,true,true,false,true,false,false,true,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,true,false,false,false,911560,bytes,30574
true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,false,true,false,false,false,false,true,false,false,1235248,bytes,43270
false,true,true,true,false,true,true,false,false,true,true,false,false,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,1171008,bytes,46434
false,true,true,true,true,true,false,false,true,false,false,true,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,false,1733968,bytes,54396
false,false,true,false,true,true,false,false,false,true,true,true,false,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,false,false,843448,bytes,32898
true,false,true,true,false,true,true,false,false,true,false,true,false,false,true,false,false,false,false,true,false,true,false,false,false,true,false,false,false,true,false,1584560,bytes,56495
true,true,true,true,false,true,true,false,false,true,false,true,false,false,false,false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,false,846968,bytes,31896
false,false,false,true,true,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,1759400,bytes,64902
true,true,true,true,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
false,false,false,true,false,true,true,false,true,true,true,true,false,false,false,false,true,false,false,true,true,true,true,true,false,false,true,false,false,false,false,3096112,bytes,106878
false,true,true,true,false,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,false,true,false,true,false,false,false,false,3096112,bytes,106878
true,false,true,false,false,true,true,false,true,false,true,true,false,false,false,false,true,true,true,false,true,true,true,true,false,false,true,false,false,false,false,3096112,bytes,106878
true,true,true,true,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,true,true,true,false,false,true,true,false,false,true,false,false,false,true,false,3096112,bytes,106878
false,true,true,true,true,false,true,false,false,true,true,false,false,false,false,false,true,true,true,true,true,false,true,false,false,true,false,false,true,false,false,3096112,bytes,106878
