,--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
143,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,1742000,bytes,56739
144,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,839472,bytes,32350
145,True,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,2848152,bytes,89216
146,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,True,2441584,bytes,81663
147,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1352912,bytes,46252
148,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,2239512,bytes,77718
149,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,10180456,bytes,82732
150,True,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,3096112,bytes,106878
151,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,1347608,bytes,42914
152,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,2188512,bytes,71077
153,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,1625096,bytes,54595
154,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,3096112,bytes,106878
155,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,True,False,False,False,1515152,bytes,56814
156,False,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True,True,True,False,False,True,False,True,False,False,False,3096112,bytes,106878
157,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,1638392,bytes,62523
158,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,3096112,bytes,106878
159,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,1126552,bytes,45503
160,True,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,3096112,bytes,106878
161,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,4790216,bytes,44446
162,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,3096112,bytes,106878
163,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,True,1037368,bytes,35642
