,--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
108,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,False,False,True,3477376,bytes,55463
109,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,3941104,bytes,64808
110,True,False,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,10085176,bytes,79256
111,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,False,True,True,False,True,True,False,True,False,True,True,False,True,True,False,10095672,bytes,79009
112,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,True,False,3996864,bytes,65168
113,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,10196032,bytes,81048
114,True,True,True,True,False,True,True,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,3995488,bytes,65207
115,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True,False,9664240,bytes,75912
116,True,True,False,True,True,True,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,True,False,True,3990544,bytes,67145
117,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,True,3991920,bytes,66621
118,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,False,False,True,10097472,bytes,79333
119,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,True,True,True,False,False,True,True,3983904,bytes,65460
120,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,8485048,bytes,66910
121,False,True,True,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,10180456,bytes,79515
122,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,10111128,bytes,79263
123,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,True,False,False,True,10125280,bytes,79627
124,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,9980504,bytes,78571
125,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,8576344,bytes,67525
126,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,10185760,bytes,79747
127,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,10090944,bytes,79216
128,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,True,3397056,bytes,54505
129,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,10112816,bytes,79165
130,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False,3861680,bytes,63029
